"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","56,84","57,32","57,68","56,72","62,93K","-0,84%"
"28.12.2023","57,32","58,00","58,40","56,62","141,66K","-1,34%"
"27.12.2023","58,10","59,00","59,96","57,80","125,00K","-1,53%"
"26.12.2023","59,00","60,82","60,82","58,70","141,78K","-2,99%"
"25.12.2023","60,82","61,20","61,20","58,60","105,16K","-0,52%"
"22.12.2023","61,14","61,42","61,78","61,00","46,02K","-0,42%"
"21.12.2023","61,40","62,24","62,72","61,00","54,10K","-1,35%"
"20.12.2023","62,24","62,72","64,28","61,54","109,33K","-0,77%"
"19.12.2023","62,72","64,00","64,00","60,36","213,68K","3,91%"
"18.12.2023","60,36","60,10","60,62","60,00","100,49K","0,43%"
"15.12.2023","60,10","60,20","60,60","59,20","95,11K","-0,86%"
"14.12.2023","60,62","61,34","62,92","60,60","242,31K","-3,66%"
"13.12.2023","62,92","63,14","65,42","62,80","208,55K","-3,82%"
"12.12.2023","65,42","68,20","68,60","65,10","337,29K","-5,35%"
"11.12.2023","69,12","69,14","69,98","67,00","245,40K","-0,83%"
"08.12.2023","69,70","69,56","69,76","69,50","264,63K","-0,09%"
"07.12.2023","69,76","69,56","69,80","69,54","261,62K","0,06%"
"06.12.2023","69,72","69,54","70,00","69,44","752,74K","-0,14%"
"05.12.2023","69,82","69,54","70,02","69,54","145,46K","-0,26%"
"04.12.2023","70,00","69,76","70,00","69,50","166,73K","0,32%"
"01.12.2023","69,78","69,50","70,08","69,50","99,58K","-0,23%"
"30.11.2023","69,94","69,46","70,00","69,46","114,80K","0,46%"
"29.11.2023","69,62","69,72","70,62","69,56","112,75K","-0,14%"
"28.11.2023","69,72","69,50","69,92","69,50","70,08K","0,23%"
"27.11.2023","69,56","69,46","69,86","69,46","88,00K","0,09%"
"24.11.2023","69,50","69,52","69,60","69,46","45,48K","-0,03%"
"23.11.2023","69,52","69,26","69,52","69,24","62,45K","0,23%"
"22.11.2023","69,36","69,18","69,64","69,16","41,45K","0,09%"
"21.11.2023","69,30","69,26","69,68","69,10","99,05K","0,06%"
"20.11.2023","69,26","68,94","69,44","68,78","51,58K","-0,46%"
"17.11.2023","69,58","69,42","69,70","68,86","143,97K","0,43%"
"16.11.2023","69,28","67,46","70,00","65,72","749,35K","2,42%"
"15.11.2023","67,64","67,30","67,78","66,78","72,38K","0,51%"
"14.11.2023","67,30","67,68","68,10","65,56","135,87K","-1,29%"
"13.11.2023","68,18","67,54","68,28","67,54","82,57K","0,80%"
"10.11.2023","67,64","68,00","68,04","67,28","107,16K","-0,59%"
"09.11.2023","68,04","68,04","68,48","68,00","65,55K","0,00%"
"08.11.2023","68,04","68,50","68,70","68,00","86,24K","-0,67%"
"07.11.2023","68,50","69,16","69,16","68,22","94,22K","-0,95%"
"06.11.2023","69,16","68,36","71,02","68,06","135,52K","1,17%"
"03.11.2023","68,36","71,12","71,12","68,00","310,45K","-4,26%"
"02.11.2023","71,40","71,36","71,42","71,28","490,03K","0,00%"
"01.11.2023","71,40","71,26","71,42","71,26","293,65K","0,00%"
"31.10.2023","71,40","71,42","71,44","71,36","305,00K","-0,03%"
"30.10.2023","71,42","71,40","71,46","71,38","333,41K","0,00%"
"27.10.2023","71,42","71,42","71,44","71,40","403,38K","0,00%"
"26.10.2023","71,42","71,42","71,46","71,40","302,47K","0,00%"
"25.10.2023","71,42","71,40","71,44","71,40","158,02K","0,00%"
"24.10.2023","71,42","71,24","71,44","71,24","221,68K","0,00%"
"23.10.2023","71,42","71,38","71,44","71,00","453,71K","0,06%"
"20.10.2023","71,38","71,32","71,46","71,32","713,50K","-0,03%"
"19.10.2023","71,40","71,38","71,44","71,32","299,86K","-0,03%"
"18.10.2023","71,42","71,42","71,48","71,32","200,54K","0,00%"
"17.10.2023","71,42","71,42","72,12","71,42","437,23K","0,00%"
"16.10.2023","71,42","71,26","71,50","71,26","297,01K","0,00%"
"13.10.2023","71,42","71,38","71,50","71,36","198,72K","0,06%"
"12.10.2023","71,38","71,20","71,50","71,14","377,06K","0,00%"
"11.10.2023","71,38","71,12","71,40","71,12","258,00K","0,08%"
"10.10.2023","71,32","71,32","71,38","71,04","380,40K","0,00%"
"09.10.2023","71,32","68,00","74,26","68,00","2,37M","4,97%"
"06.10.2023","67,94","69,80","69,80","67,40","277,56K","-1,71%"
"05.10.2023","69,12","69,16","71,28","68,76","817,50K","-0,06%"
"04.10.2023","69,16","68,50","69,92","68,50","271,49K","0,58%"
"03.10.2023","68,76","69,50","70,32","68,68","555,63K","-1,06%"
"02.10.2023","69,50","69,52","70,34","69,04","279,44K","-0,37%"
"29.09.2023","69,76","68,20","72,74","67,98","1,74M","2,65%"
"28.09.2023","67,96","68,48","69,10","67,70","264,27K","-0,99%"
"27.09.2023","68,64","67,80","69,14","67,40","288,72K","1,39%"
"26.09.2023","67,70","68,50","68,56","66,60","565,25K","-1,17%"
"25.09.2023","68,50","71,54","71,72","68,50","819,46K","-3,30%"
"22.09.2023","70,84","72,50","74,88","70,60","1,41M","-2,05%"
"21.09.2023","72,32","75,16","76,34","70,20","4,65M","-7,28%"
"20.09.2023","78,00","66,90","83,00","66,06","29,46M","20,00%"
"19.09.2023","65,00","65,52","65,68","65,00","134,45K","-0,79%"
"18.09.2023","65,52","66,32","66,76","65,46","89,10K","-0,88%"
"15.09.2023","66,10","66,50","66,50","65,20","174,36K","0,79%"
"14.09.2023","65,58","66,94","67,02","65,06","258,95K","-2,03%"
"13.09.2023","66,94","67,04","67,32","66,88","59,89K","-0,15%"
"12.09.2023","67,04","66,86","67,16","66,66","106,78K","0,27%"
"11.09.2023","66,86","66,80","67,50","66,64","167,11K","-0,15%"
"08.09.2023","66,96","68,00","68,02","66,50","146,12K","-1,24%"
"07.09.2023","67,80","68,14","68,14","67,00","234,80K","0,03%"
"06.09.2023","67,78","68,00","68,12","67,72","159,12K","-0,62%"
"05.09.2023","68,20","68,20","68,42","67,66","238,07K","0,00%"
"04.09.2023","68,20","68,00","68,52","67,92","291,18K","0,03%"
"01.09.2023","68,18","68,18","68,30","68,00","155,96K","0,00%"
"31.08.2023","68,18","68,60","68,84","67,72","232,72K","-0,41%"
"30.08.2023","68,46","68,60","69,04","68,00","238,02K","-0,58%"
"29.08.2023","68,86","69,22","70,00","68,56","286,09K","-0,52%"
"28.08.2023","69,22","69,06","70,00","68,50","296,36K","0,17%"
"25.08.2023","69,10","68,28","69,38","68,04","136,42K","0,96%"
"24.08.2023","68,44","68,10","68,86","67,98","115,83K","0,56%"
"23.08.2023","68,06","69,24","69,24","68,00","115,43K","-1,22%"
"22.08.2023","68,90","69,66","69,66","68,40","169,77K","-0,49%"
"21.08.2023","69,24","68,96","69,40","68,68","174,76K","0,38%"
"18.08.2023","68,98","68,60","69,10","68,06","137,90K","0,47%"
"17.08.2023","68,66","68,10","68,92","67,88","121,47K","0,85%"
"16.08.2023","68,08","68,36","68,44","67,36","194,84K","-0,41%"
"15.08.2023","68,36","68,70","69,48","67,80","424,61K","-0,61%"
"14.08.2023","68,78","68,94","69,48","68,52","233,53K","-0,23%"
"11.08.2023","68,94","68,56","69,22","68,42","185,93K","0,55%"
"10.08.2023","68,56","68,02","68,94","68,02","163,97K","0,12%"
"09.08.2023","68,48","68,86","69,20","68,02","267,56K","-0,44%"
"08.08.2023","68,78","69,58","69,78","68,56","241,14K","-1,32%"
"07.08.2023","69,70","69,80","69,96","69,30","240,78K","-0,31%"
"04.08.2023","69,92","70,08","71,48","69,70","846,29K","-0,23%"
"03.08.2023","70,08","69,56","70,10","69,28","239,79K","0,43%"
"02.08.2023","69,78","69,80","70,46","68,50","843,17K","-1,11%"
"01.08.2023","70,56","70,58","71,18","70,10","340,09K","-0,03%"
"31.07.2023","70,58","70,50","70,66","70,00","417,91K","0,11%"
"28.07.2023","70,50","71,20","71,20","70,50","292,20K","-1,04%"
"27.07.2023","71,24","71,42","71,70","70,78","443,38K","-0,25%"
"26.07.2023","71,42","71,88","71,90","71,32","386,00K","-0,36%"
"25.07.2023","71,68","71,34","72,66","71,22","956,37K","0,50%"
"24.07.2023","71,32","71,38","71,40","71,20","277,92K","-0,08%"
"21.07.2023","71,38","71,36","71,40","71,22","161,09K","0,03%"
"20.07.2023","71,36","71,10","71,40","71,02","220,08K","0,03%"
"19.07.2023","71,34","71,28","71,42","70,56","394,59K","0,03%"
"18.07.2023","71,32","71,34","71,40","71,28","329,92K","-0,06%"
"17.07.2023","71,36","71,30","71,40","71,30","229,68K","0,03%"
"14.07.2023","71,34","71,24","71,40","71,24","249,98K","-0,03%"
"13.07.2023","71,36","71,34","71,44","71,26","223,76K","-0,06%"
"12.07.2023","71,40","71,36","71,44","71,34","170,29K","0,06%"
"11.07.2023","71,36","71,40","71,42","71,28","160,00K","0,00%"
"10.07.2023","71,36","71,24","71,46","71,22","172,48K","-0,03%"
"07.07.2023","71,38","71,46","71,46","71,22","107,54K","0,03%"
"06.07.2023","71,36","71,28","71,46","71,28","147,46K","0,06%"
"05.07.2023","71,32","71,20","71,38","71,20","146,99K","0,00%"
"04.07.2023","71,32","71,36","71,38","71,20","162,20K","0,00%"
"03.07.2023","71,32","71,04","71,38","71,04","293,92K","0,08%"
"30.06.2023","71,26","71,20","71,32","70,88","147,57K","-0,06%"
"29.06.2023","71,30","71,28","71,40","71,20","349,76K","-0,06%"
"28.06.2023","71,34","71,18","71,48","71,14","263,13K","-0,06%"
"27.06.2023","71,38","71,16","71,44","71,16","223,23K","0,08%"
"26.06.2023","71,32","70,20","71,40","70,20","392,77K","0,88%"
"23.06.2023","70,70","71,32","71,44","70,02","339,68K","-0,95%"
"22.06.2023","71,38","71,32","71,44","71,32","289,36K","0,00%"
"21.06.2023","71,38","71,36","71,42","71,28","210,96K","0,08%"
"20.06.2023","71,32","71,42","71,50","71,24","320,41K","-0,11%"
"19.06.2023","71,40","71,42","71,46","71,32","238,67K","0,06%"
"16.06.2023","71,36","71,38","71,38","71,32","237,47K","-0,03%"
"15.06.2023","71,38","71,28","71,40","71,26","243,92K","0,11%"
"14.06.2023","71,30","71,32","71,36","71,16","361,11K","-0,06%"
"13.06.2023","71,34","71,34","71,44","71,32","352,76K","-0,06%"
"09.06.2023","71,38","71,36","71,44","71,28","249,22K","0,03%"
"08.06.2023","71,36","71,28","71,56","71,24","361,87K","0,08%"
"07.06.2023","71,30","71,18","71,34","71,18","263,84K","0,03%"
"06.06.2023","71,28","71,12","71,30","71,12","353,75K","0,11%"
"05.06.2023","71,20","71,04","71,36","71,04","593,47K","0,06%"
"02.06.2023","71,16","71,22","71,34","70,84","436,82K","-0,08%"
"01.06.2023","71,22","70,46","71,26","70,38","707,16K","0,68%"
"31.05.2023","70,74","70,66","70,82","70,20","529,09K","0,11%"
"30.05.2023","70,66","70,20","70,98","68,54","1,90M","3,61%"
"29.05.2023","68,20","67,54","71,50","67,46","2,14M","1,13%"
"26.05.2023","67,44","68,46","68,46","67,30","245,53K","-0,88%"
"25.05.2023","68,04","67,06","68,20","67,00","374,22K","1,19%"
"24.05.2023","67,24","67,92","68,16","67,06","395,20K","-1,32%"
"23.05.2023","68,14","68,84","69,18","67,76","173,18K","-1,33%"
"22.05.2023","69,06","67,92","69,94","67,04","498,35K","1,56%"
"19.05.2023","68,00","68,50","68,50","67,52","148,42K","-0,41%"
"18.05.2023","68,28","68,40","68,46","67,76","219,46K","-0,15%"
"17.05.2023","68,38","68,64","68,64","68,00","163,49K","-0,38%"
"16.05.2023","68,64","68,98","69,58","68,06","180,45K","-0,41%"
"15.05.2023","68,92","68,02","68,96","68,02","179,22K","1,00%"
"12.05.2023","68,24","67,74","69,96","67,32","289,90K","0,44%"
"11.05.2023","67,94","68,48","68,56","67,78","124,54K","-0,56%"
"10.05.2023","68,32","66,58","68,46","66,10","237,05K","1,88%"
"08.05.2023","67,06","67,94","68,00","66,98","106,58K","-1,30%"
"05.05.2023","67,94","68,00","68,28","67,62","74,66K","-0,38%"
"04.05.2023","68,20","68,00","68,44","67,28","138,95K","0,77%"
"03.05.2023","67,68","69,32","69,34","66,54","308,07K","-2,11%"
"02.05.2023","69,14","69,84","70,84","68,50","501,03K","-1,00%"
"28.04.2023","69,84","69,96","70,30","69,50","195,16K","-0,48%"
"27.04.2023","70,18","70,90","70,90","69,74","197,30K","-0,34%"
"26.04.2023","70,42","70,46","70,98","70,34","131,16K","0,00%"
"25.04.2023","70,42","70,34","70,72","70,30","109,99K","-0,06%"
"24.04.2023","70,46","70,28","71,94","70,28","515,33K","-0,06%"
"21.04.2023","70,50","70,90","70,90","70,20","180,38K","0,06%"
"20.04.2023","70,46","70,78","71,12","70,02","200,42K","-0,65%"
"19.04.2023","70,92","71,08","71,18","70,76","210,31K","-0,23%"
"18.04.2023","71,08","70,98","71,20","70,74","148,87K","0,14%"
"17.04.2023","70,98","71,10","71,30","70,70","185,94K","0,06%"
"14.04.2023","70,94","71,50","71,50","70,54","116,20K","-0,37%"
"13.04.2023","71,20","70,80","71,58","70,76","128,22K","0,20%"
"12.04.2023","71,06","71,26","71,60","70,58","126,92K","-0,22%"
"11.04.2023","71,22","71,96","72,28","70,78","335,82K","-1,03%"
"10.04.2023","71,96","71,16","72,00","69,66","375,14K","0,70%"
"07.04.2023","71,46","71,00","72,00","71,00","308,69K","0,31%"
